word,valence,arousal
abashed,-4.000000,0.000000
abortion,-4.000000,2.920000
abuse,-3.200000,1.840000
abusers,-3.000000,2.920000
abusing,-3.000000,3.280000
accident,-2.960000,1.280000
ache,-4.000000,2.285600
achieve,3.520000,3.320000
achieved,2.840000,3.200000
achievement,3.000000,2.840000
achieving,3.200000,2.520000
acrimony,-4.000000,3.560000
adventure,2.600000,2.000000
adventures,2.640000,3.320000
affection,3.400000,1.200000
affectionateness,0.500000,-3.333200
afflicted,-3.040000,1.400000
afflicted,-4.000000,-1.500000
afraid,-3.000000,1.680000
aggression,-4.000000,1.000000
aggressive,-3.200000,2.760000
agitate,-2.680000,2.400000
agitated,2.000000,3.640000
agitation,1.142800,3.500000
agonized,-4.000000,-1.500000
agony,-2.560000,1.080000
agreeable,0.000000,-2.680000
ailing,-4.000000,-1.500000
alarm,-4.000000,1.000000
alarmed,-4.000000,1.520000
alarming,-4.000000,2.320000
alone,-4.000000,-2.182000
amativeness,1.714400,-2.000000
ambulance,-2.520000,2.320000
amenity,2.285600,-0.444400
amicability,2.285600,-0.444400
amicable,0.000000,-2.680000
amorousness,1.714400,-2.000000
snow,1.333200,-2.400000
amputate,-4.000000,3.320000
amusement,3.520000,1.240000
amusing,4.000000,2.520000
anger,-4.000000,3.560000
angry,-2.160000,2.160000
angst,-4.000000,3.200000
anguish,-3.000000,0.000000
anguished,-4.000000,-1.500000
animality,-3.120000,1.320000
animosity,-3.440000,-1.720000
animus,-3.440000,-1.720000
annoy,-2.240000,1.480000
annoyance,-2.480000,-2.280000
annoyed,-2.240000,1.480000
annoys,-3.320000,3.320000
antagonism,-4.000000,3.560000
antipathy,-3.440000,-1.720000
anxiety,-4.000000,3.200000
anxious,-4.000000,2.000000
apathy,-1.333200,-2.182000
appease,2.320000,-1.800000
appreciative,2.920000,1.080000
apprehension,-2.680000,0.640000
ardent,2.000000,3.640000
aroused,2.960000,1.640000
arrested,-4.000000,4.000000
arrogant,-4.000000,2.680000
ashamed,-4.000000,0.000000
assassin,-4.000000,3.120000
assassination,-4.000000,3.120000
assault,-4.000000,3.440000
assuage,2.320000,-1.800000
at_ease,0.000000,-2.680000
at_peace,0.000000,-2.680000
attack,-4.000000,2.280000
attacked,-4.000000,3.440000
attacks,-4.000000,3.440000
attraction,3.200000,3.600000
aversion,-3.440000,-1.720000
avid,2.000000,3.640000
baby,2.840000,1.320000
balmy,0.000000,-2.680000
bang,2.520000,2.680000
bankrupt,-3.000000,1.200000
barbarism,-3.120000,1.320000
barbarity,-3.120000,1.320000
barbecue,3.000000,2.400000
battle,-3.000000,2.800000
battle,-2.680000,2.280000
battlefield,-3.360000,1.760000
armageddon,-3.360000,1.760000
battleground,-3.360000,1.760000
beautiful,2.600000,1.160000
beautifully,4.000000,-2.680000
becalm,1.333200,-0.800000
beloved,4.000000,2.560000
bestiality,-3.120000,1.320000
betray,-3.320000,2.240000
bird,2.280000,-1.840000
bitching,-4.000000,2.200000
bitchy,-4.000000,1.520000
bitch,-4.000000,1.520000
whore,-4.000000,2.000000
slut,-4.000000,2.000000
tramp,-4.000000,2.000000
escort,-4.000000,2.000000
harlot,-4.000000,2.000000
hooker,-4.000000,2.000000
bite,-2.840000,2.240000
bitter,-2.480000,-2.280000
blackmail,-2.040000,1.040000
bleak,-1.800000,-2.000000
bleeding,-4.000000,2.480000
blessed,1.714400,-1.777600
blessedly,1.333200,-1.818000
blessing,1.142800,-0.444400
blest,4.000000,3.000000
blissful,4.000000,3.000000
blithe,4.000000,3.000000
blood,-2.480000,0.000000
bloody,-2.480000,0.800000
bloodless,3.600000,-1.200000
bloodthirstiness,-3.120000,1.320000
bloody,-2.080000,1.400000
blue,-2.480000,-2.280000
blues,-2.480000,-2.280000
bomb,-4.000000,2.840000
bombers,-4.000000,2.680000
bombs,-4.000000,2.840000
bonheur,4.000000,3.200000
bored,-3.000000,-1.777600
bored,-2.040000,-2.160000
boredom,-4.000000,-2.560000
bother,-4.000000,1.500000
bothered,-4.000000,-0.571600
bothersome,-4.000000,-1.818000
brave,2.160000,1.160000
braveness,0.666800,0.888800
bravery,0.666800,0.888800
breach,-4.000000,2.840000
breakdance,0.400000,2.920000
breakdown,-4.000000,2.520000
brokenhearted,-4.000000,-1.500000
brotherhood,2.285600,-0.444400
brutal,-2.200000,1.600000
brutality,-4.000000,3.280000
bucolic,0.000000,-2.680000
bugaboo,-3.120000,4.000000
bugbear,-3.120000,4.000000
bullet,-2.680000,2.280000
projectile,-2.680000,2.280000
rocket,-2.680000,2.280000
missile,-2.680000,2.280000
torpedo,-2.680000,2.280000
burn,-4.000000,2.680000
burned,-4.000000,2.240000
burst,-2.560000,2.680000
busting,-2.680000,2.160000
butchery,-3.360000,1.760000
butterfly,2.160000,-1.520000
callousness,-3.120000,1.320000
calm,0.000000,-2.680000
calm_down,0.000000,-2.680000
calmative,-2.400000,-2.400000
calmly,3.120000,-2.400000
calmness,0.000000,-2.680000
calms,2.000000,-2.240000
camaraderie,2.285600,-0.444400
cancer,-3.480000,1.440000
care,1.714400,-2.000000
caress,1.714400,-2.000000
carnage,-3.360000,1.760000
carousal,3.360000,2.240000
celebration,2.800000,2.800000
chagrin,-2.760000,1.160000
chagrined,-4.000000,0.000000
